filename,filepath,lat,lon,heading,pitch,location_id
51.495503_-0.178144_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h0_p20.jpg,51.495503,-0.178144,0,20,0
51.495503_-0.178144_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h135_p20.jpg,51.495503,-0.178144,135,20,0
51.495503_-0.178144_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h180_p20.jpg,51.495503,-0.178144,180,20,0
51.495503_-0.178144_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h225_p20.jpg,51.495503,-0.178144,225,20,0
51.495503_-0.178144_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h270_p20.jpg,51.495503,-0.178144,270,20,0
51.495503_-0.178144_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h315_p20.jpg,51.495503,-0.178144,315,20,0
51.495503_-0.178144_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h45_p20.jpg,51.495503,-0.178144,45,20,0
51.495503_-0.178144_h90_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495503_-0.178144_h90_p20.jpg,51.495503,-0.178144,90,20,0
51.495532_-0.177696_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h0_p20.jpg,51.495532,-0.177696,0,20,1
51.495532_-0.177696_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h135_p20.jpg,51.495532,-0.177696,135,20,1
51.495532_-0.177696_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h180_p20.jpg,51.495532,-0.177696,180,20,1
51.495532_-0.177696_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h225_p20.jpg,51.495532,-0.177696,225,20,1
51.495532_-0.177696_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h270_p20.jpg,51.495532,-0.177696,270,20,1
51.495532_-0.177696_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h315_p20.jpg,51.495532,-0.177696,315,20,1
51.495532_-0.177696_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.495532_-0.177696_h45_p20.jpg,51.495532,-0.177696,45,20,1
